[2024-12-30 23:59:04] ACTION: Node registered, DETAILS: {ID:98ad36fe-bec5-4206-b1ac-5f085229c497 IPAddress:192.168.152.205 Latitude:0 Longitude:0 Status:active Port:8081}
[2024-12-31 00:02:39] ACTION: Node registered, DETAILS: {ID:4ff75a3f-8b8f-4f9c-8129-4de3a4de5d9c IPAddress:192.168.152.205 Latitude:0 Longitude:0 Status:active Port:8081}
[2024-12-31 00:07:27] ACTION: Node registered, DETAILS: {ID:c108f994-3f74-4276-96e9-f659ece4e3e5 IPAddress:192.168.152.205 Latitude:0 Longitude:0 Status:active Port:8081}
[2024-12-31 00:10:41] ACTION: Node registered, DETAILS: {ID:c5537692-b9bb-4ef4-a498-3577a67ec490 IPAddress:192.168.152.205 Latitude:0 Longitude:0 Status:active Port:8081}
[2024-12-31 00:12:12] ACTION: Node registered, DETAILS: {ID:11473db1-2f8d-4df8-9e72-7c7d300eaa79 IPAddress:192.168.152.205 Latitude:0 Longitude:0 Status:active Port:8081}
[2024-12-31 00:16:20] ACTION: Node registered, DETAILS: {ID:c0207c83-94b4-45ef-855d-ecf953a27f63 IPAddress:192.168.152.205 Latitude:0 Longitude:0 Status:active Port:8081}
[2024-12-31 00:18:32] ACTION: Node registered, DETAILS: {ID:bbe2e7bb-4cd8-4713-80dc-72429d11b56c IPAddress:192.168.152.205 Latitude:0 Longitude:0 Status:active Port:8081}
[2024-12-31 00:22:30] ACTION: Node registered, DETAILS: {ID:48786e2c-fc5f-4c4e-a851-3fbfe4740d29 IPAddress:192.168.152.205 Latitude:0 Longitude:0 Status:active Port:8081}
[2024-12-31 00:28:20] ACTION: Node registered, DETAILS: {ID:dae72b57-ba8e-4b13-8fee-b97ac30664ef IPAddress:152.58.32.113 Latitude:0 Longitude:0 Status:active Port:8080}
[2024-12-31 21:41:35] ACTION: Node registered, DETAILS: {ID:d3830131-5b25-4753-8d7b-dda6a5035d01 IPAddress:152.58.30.247 Latitude:0 Longitude:0 Status:active Port:8080}
[2024-12-31 21:42:31] ACTION: Node registered, DETAILS: {ID:5d6e486a-445d-4dd7-8ca6-e4df9c2a897a IPAddress:152.58.30.247 Latitude:0 Longitude:0 Status:active Port:8081}
[2024-12-31 21:47:08] ACTION: Node registered, DETAILS: {ID:10048746-cc16-40e5-86db-2cdfe2a5f810 IPAddress:152.58.30.247 Latitude:0 Longitude:0 Status:active Port:8081}
[2024-12-31 21:51:08] ACTION: Node registered, DETAILS: {ID:12c05d1a-a2ca-4943-ba6a-deb0cc41f4dc IPAddress:192.168.152.205 Latitude:0 Longitude:0 Status:active Port:8081}
[2024-12-31 21:52:34] ACTION: Node registered, DETAILS: {ID:aa17f380-b1ac-4ead-994b-1f90c5edd4f6 IPAddress:192.168.152.205 Latitude:0 Longitude:0 Status:active Port:8081}
[2024-12-31 21:54:05] ACTION: Node registered, DETAILS: {ID:0b3f4a9e-a36c-4ded-b281-c34e31732acc IPAddress:192.168.152.205 Latitude:0 Longitude:0 Status:active Port:8081}
[2024-12-31 21:55:05] ACTION: Node registered, DETAILS: {ID:872739d5-6a0e-47e1-a4aa-81f7a390c418 IPAddress:192.168.152.205 Latitude:0 Longitude:0 Status:active Port:8081}
