Client IP,Client Latitude,Client Longitude,Node Latitude,Node Longitude,Latency,Timestamp,Client Data
192.168.43.205:59414,40.712800,-74.006000,0.000000,0.000000,15.425µs,2024-12-28T20:12:18+05:30,Test message
[::1]:46206,40.712800,-74.006000,0.000000,0.000000,26.207µs,2024-12-28T20:47:17+05:30,"Hello, Node!"
[::1]:51602,40.712800,-74.006000,0.000000,0.000000,19.232µs,2024-12-28T20:47:28+05:30,"Hello, Node!"
192.168.43.205:32862,40.712800,-74.006000,0.000000,0.000000,25.921µs,2024-12-28T20:48:13+05:30,"{""message"":""Prepare to transfer data to the client."",""node_id"":""node-204810""}"
192.168.43.205:32862,40.712800,-74.006000,0.000000,0.000000,51.105µs,2024-12-28T20:48:18+05:30,"{""message"":""Data transfer completed."",""node_id"":""node-204810""}"
192.168.152.205:48458,40.712800,-74.006000,0.000000,0.000000,20.674µs,2024-12-28T21:01:41+05:30,"{""message"":""Node transfer notification"",""node_id"":""node-210059""}"
[::1]:55790,40.712800,-74.006000,0.000000,0.000000,22.994µs,2024-12-28T21:01:43+05:30,"{""message"":""Hello, Server Node!""}"
192.168.152.205:56648,40.712800,-74.006000,0.000000,0.000000,40.925µs,2024-12-28T21:05:21+05:30,"{""message"":""Node transfer notification"",""node_id"":""node-210516""}"
[::1]:44244,40.712800,-74.006000,0.000000,0.000000,38.955µs,2024-12-28T21:05:23+05:30,"{""message"":""Hello, Server Node!""}"
192.168.152.205:50268,40.712800,-74.006000,0.000000,0.000000,11.904µs,2024-12-28T21:08:56+05:30,"{""message"":""Node transfer notification"",""node_id"":""node-210844""}"
[::1]:58528,40.712800,-74.006000,0.000000,0.000000,48.286µs,2024-12-28T21:08:58+05:30,"{""message"":""Hello, Server Node!""}"
192.168.152.205:44502,40.712800,-74.006000,0.000000,0.000000,28.403µs,2024-12-28T21:12:01+05:30,"{""message"":""Node transfer notification"",""node_id"":""node-211125""}"
[::1]:39516,40.712800,-74.006000,0.000000,0.000000,9.001µs,2024-12-28T21:12:03+05:30,
[::1]:39516,40.712800,-74.006000,0.000000,0.000000,26.026µs,2024-12-28T21:12:08+05:30,
[::1]:39516,40.712800,-74.006000,0.000000,0.000000,26.817µs,2024-12-28T21:12:13+05:30,
[::1]:39516,40.712800,-74.006000,0.000000,0.000000,27.106µs,2024-12-28T21:12:18+05:30,
